timestamp,object_id,x,y,width,height,area
2026-05-04 16:48:54,1,369,1183,30,29,633
2026-05-04 16:48:54,2,17,1175,310,90,7356
2026-05-04 16:48:54,3,17,1129,311,89,7241
2026-05-04 16:48:54,4,435,1086,29,30,636
2026-05-04 16:48:54,5,270,1086,29,29,631
2026-05-04 16:48:54,6,17,1083,311,89,7242
2026-05-04 16:48:54,7,270,1017,29,29,634
2026-05-04 16:48:54,8,52,988,79,93,2682
2026-05-04 16:48:54,9,16,951,171,37,3674
2026-05-04 16:48:54,10,270,948,29,29,633
2026-05-04 16:48:54,11,426,899,29,29,631
2026-05-04 16:48:54,12,213,879,29,29,632
2026-05-04 16:48:54,13,17,858,311,89,7234
2026-05-04 16:48:54,14,303,816,29,29,630
2026-05-04 16:48:54,15,187,737,29,29,630
2026-05-04 16:48:54,16,128,706,37,121,2871
2026-05-04 16:48:54,17,407,678,30,29,632
2026-05-04 16:48:54,18,407,631,30,30,626
2026-05-04 16:48:54,19,327,631,29,30,634
2026-05-04 16:48:54,20,34,627,94,80,2677
2026-05-04 16:48:54,21,1179,621,77,188,4770
2026-05-04 16:48:54,22,108,601,29,29,632
2026-05-04 16:48:54,23,104,597,1176,676,2004
2026-05-04 16:48:54,24,407,585,30,29,628
2026-05-04 16:48:54,25,327,585,29,29,632
2026-05-04 16:48:54,26,327,539,29,29,633
2026-05-04 16:48:54,27,1119,535,37,199,4123
2026-05-04 16:48:54,28,473,535,544,130,11327
2026-05-04 16:48:54,29,323,535,957,506,907
2026-05-04 16:48:54,30,108,531,29,30,635
2026-05-04 16:48:54,31,246,528,29,29,637
2026-05-04 16:48:54,32,104,527,1176,612,1016
2026-05-04 16:48:54,33,952,492,37,109,2676
2026-05-04 16:48:54,34,701,477,236,133,9782
2026-05-04 16:48:54,35,4,470,29,29,634
2026-05-04 16:48:54,36,1219,467,37,171,3672
2026-05-04 16:48:54,37,1045,455,29,30,638
2026-05-04 16:48:54,38,116,424,29,29,636
2026-05-04 16:48:54,39,4,424,29,29,634
2026-05-04 16:48:54,40,441,418,311,90,7326
2026-05-04 16:48:54,41,1140,415,37,109,2676
2026-05-04 16:48:54,42,173,397,106,94,3008
2026-05-04 16:48:54,43,6,375,29,29,625
2026-05-04 16:48:54,44,685,369,29,30,634
2026-05-04 16:48:54,45,1031,360,29,29,633
2026-05-04 16:48:54,46,1042,337,77,241,5552
2026-05-04 16:48:54,47,458,324,216,75,5157
2026-05-04 16:48:54,48,685,301,29,29,632
2026-05-04 16:48:54,49,90,289,216,76,5144
2026-05-04 16:48:54,50,933,278,94,80,2676
2026-05-04 16:48:54,51,459,274,213,79,5096
2026-05-04 16:48:54,52,798,267,69,108,970
2026-05-04 16:48:54,53,357,267,77,241,5560
2026-05-04 16:48:54,54,973,239,30,29,629
2026-05-04 16:48:54,55,870,239,29,30,628
2026-05-04 16:48:54,56,138,239,213,80,5187
2026-05-04 16:48:54,57,308,235,271,38,5280
2026-05-04 16:48:54,58,1031,226,29,29,635
2026-05-04 16:48:54,59,1131,223,71,188,7302
2026-05-04 16:48:54,60,724,212,40,163,3573
2026-05-04 16:48:54,61,823,207,30,29,636
2026-05-04 16:48:54,62,308,189,271,37,5278
2026-05-04 16:48:54,63,640,171,30,29,627
2026-05-04 16:48:54,64,1176,161,30,29,635
2026-05-04 16:48:54,65,1052,161,29,29,632
2026-05-04 16:48:54,66,1006,157,204,236,783
2026-05-04 16:48:54,67,283,92,385,88,7839
2026-05-04 16:48:54,68,1003,68,166,104,5530
2026-05-04 16:48:54,69,110,51,124,192,5394
2026-05-04 16:48:54,70,443,47,29,29,629
2026-05-04 16:48:54,71,850,17,286,187,10674
2026-05-04 16:48:54,72,794,11,30,29,630
2026-05-04 16:48:54,73,21,4,413,97,9757
